First,Last,UO ID,Email,Phonetic,Reveal
Chad,Vacca,901732373,CV@uoregon.edu,Chad Vacca,0
Devorah,Goodfellow,901732276,DG@uoregon.edu,Devorah Goodfellow,1
See,Kubiak,901732056,SK@uoregon.edu,See Kubiak,1
Charla,Blasi,901732999,CB@uoregon.edu,Charla Blasi,0
Ann,Williams,987654321,AnnW@uoregon.edu,ann williams,0
Jeni,Ortego,901732123,JO@uoregon.edu,Jeni Ortego,0
Mendy,Kleve,901732971,MKl@uoregon.edu,Mendy Kleve,1
Josefina,Zahler,901732233,JZ@uoregon.edu,Josephine Zahler,1
Adina,Radford,901731791,AR@uoregon.edu,Adina Radford,1
Carter,Parisi,901732207,CP@uoregon.edu,Carter Parisi,0
Verda,Appleby,901731972,VA@uoregon.edu,Verda Appleby,0
Nella,Brittingham,901732432,NB@uoregon.edu,Nella Brittingham,1
Madalyn,Kingsbury,901732377,MK@uoregon.edu,Madalyn Kingsbury,0
Tony,Oshea,901731998,TO@uoregon.edu,Tony Oshea,0
Clarita,Walmsley,901732911,CW@uoregon.edu,Clarita Walmsley,0
Mose,Tenorio,901732101,MT@uoregon.edu,Mose Tenorio,0
Leif,Wadleigh,901732746,LF@uoregon.edu,Leif Wadleigh,1
