First Name,Last Name,UO ID,Email,Phonetic,Revealable,Number of Flags,Number of Calls
Loyd,Zeringue,901732308,LZ@uoregon.edu,Loyd Zeringue,0,7,10
Tuan,Gregson,901732647,TG@uoregon.edu,Tuan Gregson,0,8,10
Alline,Golliday,901732654,AG@uoregon.edu,Alline Golliday,0,7,11
Devorah,Goodfellow,901732276,DG@uoregon.edu,Devorah Goodfellow,0,7,12
Loan,Heideman,901732147,LH@uoregon.edu,Loan Heideman,0,1,9
Ann,Williams,987654321,AnnW@uoregon.edu,ann williams,0,4,10
Josefina,Zahler,901732233,JZ@uoregon.edu,Josephine Zahler,0,5,12
Mendy,Kleve,901732971,MKl@uoregon.edu,Mendy Kleve,0,4,11
Janene,Tartaglia,901732235,JT@uoregon.edu,Janene Tartaglia,0,6,11
Clarita,Walmsley,901732911,CW@uoregon.edu,Clarita Walmsley,0,3,10
Edris,Pepper,901732141,EP@uoregon.edu,Edris Pepper,0,5,11
Verda,Appleby,901731972,VA@uoregon.edu,Verda Appleby,0,4,12
Tony,Oshea,901731998,TO@uoregon.edu,Tony Oshea,0,5,11
Deanna,Remington,901732654,DR@uoregon.edu,Deanna Remington,0,7,10
Chad,Vacca,901732373,CV@uoregon.edu,Chad Vacca,0,4,12
Nella,Brittingham,901732432,NB@uoregon.edu,Nella Brittingham,0,4,11
Lin,Dimond,901732213,LD@uoregon.edu,Lin Dimond,0,7,12
Matthew,Schrum,901732221,MS@uoregon.edu,Matthew Schrum,0,5,11
Adina,Radford,901731791,AR@uoregon.edu,Adina Radford,0,1,10
Terra,Cogan,901732047,TC@uoregon.edu,Terra Cogan,0,2,9
Bill,Johnson,000111222,BillJ@uoregon.edu,bill johnson,0,2,10
Doretta,Embrey,901732348,DE@uoregon.edu,Doretta Embrey,0,6,12
Rossie,Ostroff,901738978,RO@uoregon.edu,Rossie Ostroff,0,7,11
Ginette,Braham,901734047,GB@uoregon.edu,Ginette Braham,0,4,12
Madalyn,Kingsbury,901732377,MK@uoregon.edu,Madalyn Kingsbury,0,6,12
Jeni,Ortego,901732123,JO@uoregon.edu,Jeni Ortego,0,3,9
Mose,Tenorio,901732101,MT@uoregon.edu,Mose Tenorio,0,5,10
Carter,Parisi,901732207,CP@uoregon.edu,Carter Parisi,0,4,10
See,Kubiak,901732056,SK@uoregon.edu,See Kubiak,0,6,12
Leif,Wadleigh,901732746,LF@uoregon.edu,Leif Wadleigh,0,3,8
Bob,Smith,123456789,BobS@uoregon.edu,bob smith,0,1,9
Britni,Bianach,901732710,BB@uoregon.edu,Britni Bianach,0,8,14
Charla,Blasi,901732999,CB@uoregon.edu,Charla Blasi,0,3,8
