First,Last,UO ID,Email,Phonetic,Reveal
Tuan,Gregson,901732647,TG@uoregon.edu,Tuan Gregson,0
Carter,Parisi,901732207,CP@uoregon.edu,Carter Parisi,0
Bob,Smith,123456789,BobS@uoregon.edu,bob smith,0
Chad,Vacca,901732373,CV@uoregon.edu,Chad Vacca,0
Matthew,Schrum,901732221,MS@uoregon.edu,Matthew Schrum,0
Lin,Dimond,901732213,LD@uoregon.edu,Lin Dimond,0
Doretta,Embrey,901732348,DE@uoregon.edu,Doretta Embrey,0
Madalyn,Kingsbury,901732377,MK@uoregon.edu,Madalyn Kingsbury,0
Leif,Wadleigh,901732746,LF@uoregon.edu,Leif Wadleigh,0
Loyd,Zeringue,901732308,LZ@uoregon.edu,Loyd Zeringue,0
Alline,Golliday,901732654,AG@uoregon.edu,Alline Golliday,0
Ann,Williams,987654321,AnnW@uoregon.edu,ann williams,0
Devorah,Goodfellow,901732276,DG@uoregon.edu,Devorah Goodfellow,0
Nella,Brittingham,901732432,NB@uoregon.edu,Nella Brittingham,0
See,Kubiak,901732056,SK@uoregon.edu,See Kubiak,0
Mendy,Kleve,901732971,MKl@uoregon.edu,Mendy Kleve,0
Verda,Appleby,901731972,VA@uoregon.edu,Verda Appleby,0
Tony,Oshea,901731998,TO@uoregon.edu,Tony Oshea,0
Adina,Radford,901731791,AR@uoregon.edu,Adina Radford,0
Rossie,Ostroff,901738978,RO@uoregon.edu,Rossie Ostroff,0
Janene,Tartaglia,901732235,JT@uoregon.edu,Janene Tartaglia,0
